Customer_ID,Chain,Gender,Offer_ID,Market,Previous_Interactions,Brand,Sales_Price,Purchase_Price,Sales_Expense,Profit_Margin,Offer_Incentive_Sent_Via,Channel,Response_Time,Conversion,Competitor_Price,Price_Difference,Preferred_Channel,Profit
1,56,Male,Offer2,East,1,Brand3,41000.0,33624.16117629437,2423.8286537290464,4952.010169976582,Generic_App_Notification,Phone,46.013425227117814,1,40041.85229044315,958.147709556848,In_Person,4952.010169976582
2,69,Female,Offer1,North,0,Brand1,45000.0,32772.63249822919,1603.075894229084,10624.291607541723,Personalized_Email,Phone,44.34247524055914,1,46071.44945749823,-1071.449457498231,Phone,10624.291607541723
3,46,Female,Offer3,East,3,Brand3,30000.0,21702.363742468653,2363.3385098640456,5934.297747667301,Personalized_Email,Phone,56.44988062127376,1,30826.600002192547,-826.6000021925465,In_Person,5934.297747667301
4,32,Male,Offer2,South,2,Brand4,27000.0,22348.570367547974,1117.37656391334,3534.053068538682,Generic_App_Notification,Online,19.63063297642183,1,26826.0026517499,173.9973482501009,Online,3534.053068538682
5,60,Male,Offer2,North,1,Brand2,45000.0,39159.96889125783,3009.607656303084,2830.423452439088,Generic_App_Notification,Phone,22.043519252953356,1,46501.394720053664,-1501.394720053664,Phone,2830.423452439088
6,25,Female,Offer2,North,4,Brand3,47000.0,33532.13238157641,4586.894967254943,8880.972651168646,Generic_App_Notification,Phone,25.077363199105484,1,45458.085494817315,1541.9145051826854,Online,8880.972651168646
7,38,Female,Offer2,South,2,Brand1,32000.0,23078.42388565311,4181.323184861309,4740.252929485583,Generic_App_Notification,In_Person,24.791537935543484,1,31574.48119475503,425.5188052449703,Phone,4740.252929485583
8,56,Female,Offer2,North,1,Brand1,21000.0,17075.550691203298,1114.084788816857,2810.3645199798448,Personalized_Email,In_Person,31.22951182063195,1,20798.983622165222,201.0163778347778,In_Person,2810.3645199798448
9,36,Female,Offer2,East,2,Brand3,41000.0,30489.33726035859,4525.04130507293,5985.621434568481,Generic_App_Notification,In_Person,25.10101296341415,1,40232.4631621458,767.5368378541971,Online,5985.621434568481
10,40,Female,Offer1,South,3,Brand2,44000.0,36183.9994804433,2809.2993155302133,5006.701204026485,Generic_App_Notification,Online,18.10449397835906,0,42758.04521568424,1241.9547843157634,In_Person,0.0
11,28,Female,Offer2,West,1,Brand4,21000.0,15601.084066072426,1763.5658616619776,3635.350072265596,Generic_App_Notification,In_Person,21.25562476539163,1,20660.114010778816,339.885989221184,In_Person,3635.350072265596
12,28,Female,Offer1,South,0,Brand4,38000.0,27485.26300472605,4009.6478208615495,6505.0891744124,Personalized_Email,Online,27.06246915204709,1,36168.412097435874,1831.587902564126,In_Person,6505.0891744124
13,41,Male,Offer2,West,1,Brand4,38000.0,30746.36986445269,2291.4942007081854,4962.135934839126,Generic_App_Notification,Phone,41.44300450740747,0,38772.73013208826,-772.7301320882616,Phone,0.0
14,53,Female,Offer1,West,0,Brand4,31000.0,27045.60985580224,2013.2736925474112,1941.1164516503504,Generic_App_Notification,Online,24.246898073478985,0,31570.27362704397,-570.2736270439709,Phone,0.0
15,57,Female,Offer2,South,1,Brand4,42000.0,35155.02456606445,1645.2736271261906,5199.7018068093585,Generic_App_Notification,Online,38.09967819055567,0,41790.9160712834,209.0839287166018,In_Person,0.0
16,41,Male,Offer3,South,2,Brand1,33000.0,28503.585907737368,2946.4876276008913,1549.9264646617407,Generic_App_Notification,Phone,16.787210762613253,1,32415.621426756756,584.3785732432443,In_Person,1549.9264646617407
17,20,Female,Offer3,West,1,Brand1,40000.0,30130.681395120384,1373.575998197781,8495.742606681835,Generic_App_Notification,In_Person,1.9889767988334397,0,39736.37414360979,263.62585639020836,Phone,0.0
18,39,Female,Offer2,West,4,Brand3,36000.0,31579.046289338585,4142.452516455146,278.50119420626925,Generic_App_Notification,In_Person,28.66824902677526,0,37571.47493756012,-1571.4749375601168,Online,0.0
19,19,Male,Offer2,North,1,Brand3,27000.0,20936.01154271186,2882.698306665644,3181.2901506224944,Generic_App_Notification,In_Person,23.899912685381604,0,27279.62509202793,-279.6250920279308,Phone,0.0
20,41,Female,Offer1,South,2,Brand4,38000.0,33078.60227571315,2787.905667275681,2133.492057011169,Generic_App_Notification,Phone,21.182628025950667,1,38879.157800108704,-879.1578001087037,Phone,2133.492057011169
21,61,Male,Offer2,South,0,Brand4,42000.0,33357.874957249296,1007.415825926084,7634.70921682462,Generic_App_Notification,Online,20.011497285719557,0,40863.97033030744,1136.029669692558,Phone,0.0
22,47,Male,Offer3,North,0,Brand4,49000.0,36925.00494413287,4271.455441234245,7803.539614632888,Generic_App_Notification,Phone,22.924848528170056,0,47014.31406439361,1985.685935606387,Online,0.0
23,55,Male,Offer1,South,5,Brand2,31000.0,23313.604752366115,2971.348236153015,4715.04701148087,Personalized_Email,Phone,20.126500684892697,1,29707.873297598264,1292.126702401736,Phone,4715.04701148087
24,19,Male,Offer2,North,0,Brand3,22000.0,17897.738691204475,2759.5780792053915,1342.6832295901336,Personalized_Email,Phone,21.03263951700825,1,21938.44147787289,61.558522127113974,Phone,1342.6832295901336
25,38,Female,Offer3,North,0,Brand1,50000.0,35790.102702068456,4045.539541137562,10164.357756793985,Generic_App_Notification,Phone,16.411526484116763,0,51083.43168955516,-1083.43168955516,Online,0.0
26,50,Male,Offer3,South,1,Brand4,39000.0,34554.438317790366,1251.5941964030435,3193.967485806591,Generic_App_Notification,Online,8.705993688750166,1,40069.06949211681,-1069.0694921168106,Phone,3193.967485806591
27,29,Male,Offer1,East,0,Brand3,48000.0,36206.04955870594,2466.7218243808147,9327.228616913244,Generic_App_Notification,In_Person,7.905925118583714,0,49057.96707355205,-1057.9670735520483,In_Person,0.0
28,39,Female,Offer2,West,1,Brand2,23000.0,17643.874162090935,3302.935830215026,2053.190007694039,Generic_App_Notification,In_Person,54.61089131836107,1,23949.353721590793,-949.3537215907928,Online,2053.190007694039
29,61,Male,Offer1,South,1,Brand2,30000.0,22399.809322447396,2842.3102509567507,4757.880426595853,Personalized_Email,Phone,29.367532088660436,1,28656.00733767656,1343.9926623234423,Phone,4757.880426595853
30,42,Male,Offer1,East,3,Brand4,24000.0,16814.43821069146,1726.5555595118976,5459.006229796642,Personalized_Email,Online,45.245424463041864,0,24852.81477255559,-852.81477255559,In_Person,0.0
31,66,Male,Offer3,North,1,Brand1,45000.0,37732.952131279184,2197.106030721247,5069.9418379995695,Generic_App_Notification,Phone,28.22408871377411,1,45723.04468021788,-723.0446802178776,In_Person,5069.9418379995695
32,44,Male,Offer3,East,1,Brand3,46000.0,37633.08668951486,2200.802230590532,6166.11107989461,Personalized_Email,Online,28.55723441553569,1,44507.3925152121,1492.607484787899,Online,6166.11107989461
33,59,Female,Offer2,South,3,Brand1,35000.0,30167.51178137981,4967.883211060908,-135.39499244071794,Generic_App_Notification,Phone,33.066706241324425,1,35638.3325719317,-638.3325719316999,Online,-135.39499244071794
34,45,Male,Offer1,South,2,Brand4,26000.0,18413.256021945097,2304.788475226595,5281.9555028283075,Generic_App_Notification,In_Person,36.40070648144691,1,26030.574856357685,-30.57485635768535,Phone,5281.9555028283075
35,33,Female,Offer3,East,3,Brand4,24000.0,21257.54709471994,1820.728250169196,921.7246551108648,Generic_App_Notification,In_Person,17.53330547079952,1,23661.69899168208,338.3010083179179,Online,921.7246551108648
36,32,Female,Offer2,South,1,Brand2,38000.0,29114.74074445878,4290.5486124165855,4594.710643124634,Generic_App_Notification,Phone,26.202251529017808,1,37042.241004830285,957.7589951697156,Phone,4594.710643124634
37,64,Male,Offer2,West,0,Brand2,35000.0,30891.48903754056,2684.6850200144345,1423.825942445006,Personalized_Email,In_Person,33.04781761486227,1,34874.54035535656,125.45964464343706,In_Person,1423.825942445006
