Chain,Previous_Interactions,Sales_Price,Purchase_Price,Sales_Expense,Response_Time,Gender,Offer_ID,Market,Customer_ID,Brand,Channel,Preferred_Channel,Offer_Incentive_Sent_Via,Conversion,Profit
67,0,48300.0,38033.949166948354,1232.2448858225057,57.46184278013818,Female,Offer3,North,1,Brand3,In_Person,Online,Generic_App_Notification,0,9033.80594722914
20,4,21300.0,19025.407650454803,4839.115307655227,11.549703307949205,Male,Offer3,South,2,Brand4,In_Person,Online,Generic_App_Notification,0,-2564.5229581100302
20,4,20600.0,18279.59226230046,4847.873211806036,12.593474893534705,Male,Offer1,West,3,Brand2,In_Person,In_Person,Generic_App_Notification,0,-2527.465474106495
20,4,21500.0,19185.990340172026,4774.900094488318,12.693250013686756,Male,Offer1,West,4,Brand3,Phone,Online,Generic_App_Notification,0,-2460.8904346603404
67,0,47600.0,37376.88848296491,1216.5435626869687,57.717838349266586,Female,Offer2,South,5,Brand3,In_Person,Online,Generic_App_Notification,0,9006.56795434812
67,0,47800.0,37663.19930085735,1183.7313272221315,56.95957366622352,Female,Offer3,East,6,Brand4,Online,Online,Generic_App_Notification,0,8953.069371920521
67,0,48100.0,37804.24630474662,1165.5582865325007,57.54754342839803,Female,Offer1,South,7,Brand2,In_Person,Phone,Generic_App_Notification,0,9130.195408720876
67,0,48800.0,38418.18757412118,1051.9132779041836,58.285329963896714,Female,Offer2,North,8,Brand2,Online,Phone,Generic_App_Notification,0,9329.89914797464
20,4,21300.0,19033.15622448349,4802.231384511559,12.487526284082747,Male,Offer3,West,9,Brand3,In_Person,Phone,Generic_App_Notification,0,-2535.387608995048
19,4,21200.0,18913.754920241925,4838.692342901015,12.13776512777624,Male,Offer3,East,10,Brand1,In_Person,Phone,Generic_App_Notification,0,-2552.44726314294
67,4,48900.0,43044.39058278922,4786.1178072790835,57.47858822467549,Female,Offer1,West,11,Brand3,Online,In_Person,Personalized_Email,1,1069.4916099316931
66,0,48100.0,37892.56514503995,1191.515606796957,58.39192088952436,Female,Offer3,South,12,Brand3,In_Person,In_Person,Generic_App_Notification,0,9015.91924816309
20,4,20900.0,18618.570218445173,4870.341944938086,12.53103131117228,Male,Offer2,West,13,Brand3,In_Person,Online,Generic_App_Notification,0,-2588.912163383259
68,0,48000.0,37763.50355689334,1172.0903184571591,58.0129957600553,Female,Offer2,South,14,Brand3,In_Person,In_Person,Generic_App_Notification,0,9064.406124649502
68,4,47900.0,42035.40189964449,4723.9194881580315,58.561624050734785,Female,Offer1,West,15,Brand4,Phone,Phone,Personalized_Email,1,1140.678612197482
21,4,21500.0,19169.372294121324,4846.416516663192,11.526007142156622,Male,Offer3,South,16,Brand2,Online,Online,Generic_App_Notification,0,-2515.7888107845156
21,4,21900.0,19544.055838116015,4955.7609012326875,11.434629749745696,Male,Offer3,North,17,Brand4,In_Person,Online,Generic_App_Notification,0,-2599.816739348703
20,4,21300.0,19058.532500629863,4839.268299987498,11.894596854068183,Male,Offer3,South,18,Brand4,Online,Phone,Personalized_Email,0,-2597.800800617364
21,4,21600.0,19333.037058628805,4792.696249987302,12.395441313053444,Male,Offer3,North,19,Brand4,Online,Phone,Generic_App_Notification,0,-2525.733308616106
21,4,20600.0,18349.590195267912,4797.901365715801,12.872034422902669,Male,Offer2,South,20,Brand3,Online,Phone,Personalized_Email,1,-2547.4915609837135
20,4,20700.0,18438.653575559212,4849.154641771662,12.229220967201009,Male,Offer1,West,21,Brand1,In_Person,In_Person,Generic_App_Notification,0,-2587.808217330874
68,0,48400.0,38097.23770622512,1234.378148328844,57.70016377966929,Female,Offer2,South,22,Brand2,In_Person,Online,Personalized_Email,0,9068.384145446038
20,4,21200.0,18932.03436455428,4797.672977535682,12.293195743624931,Male,Offer2,East,23,Brand1,Online,Phone,Generic_App_Notification,0,-2529.7073420899596
68,0,48300.0,37886.00197087915,1126.804297346194,57.72634141268387,Female,Offer1,East,24,Brand4,Phone,Online,Generic_App_Notification,0,9287.193731774654
68,0,48400.0,38114.06496259553,1154.8387952543833,57.72971280485977,Female,Offer2,South,25,Brand4,Online,Online,Generic_App_Notification,0,9131.09624215009
67,0,48200.0,37827.7404156211,1160.5584188057562,57.400988960281886,Female,Offer2,North,26,Brand1,Phone,In_Person,Generic_App_Notification,0,9211.701165573146
21,4,21300.0,19006.29591778176,4813.36730359521,12.090010682543776,Male,Offer2,South,27,Brand1,Online,Online,Generic_App_Notification,0,-2519.663221376971
22,4,21100.0,18781.34781388018,4802.026560308868,12.202720890399672,Male,Offer1,South,28,Brand1,Online,Phone,Generic_App_Notification,0,-2483.3743741890485
69,0,48400.0,38056.600151358194,1138.1574322169547,58.11926946877084,Female,Offer2,West,29,Brand4,Online,Phone,Generic_App_Notification,0,9205.242416424851
67,4,48100.0,42336.6899827224,4812.382435562245,57.86565896208699,Female,Offer1,West,30,Brand4,In_Person,Online,Personalized_Email,1,950.9275817153584
68,0,47900.0,37654.073168195704,1106.339385314127,58.080107685112765,Female,Offer2,East,31,Brand2,Phone,Online,Personalized_Email,0,9139.587446490168
20,4,21200.0,18964.221564250056,4771.608912443688,12.387625828423932,Male,Offer3,East,32,Brand2,Phone,In_Person,Generic_App_Notification,0,-2535.8304766937435
67,4,48100.0,42149.05767167844,4799.224990441962,57.56465231399026,Female,Offer1,West,33,Brand4,Online,Phone,Personalized_Email,1,1151.717337879596
21,4,20700.0,18438.67130268655,4803.734219072033,13.227172486310664,Male,Offer2,East,34,Brand1,In_Person,Phone,Generic_App_Notification,0,-2542.4055217585837
67,0,48500.0,38276.63378144285,1212.9428834727892,57.66278043664837,Female,Offer3,East,35,Brand1,In_Person,Online,Personalized_Email,0,9010.423335084362
20,4,20700.0,18410.956110625484,4786.171594934595,12.739413224517495,Male,Offer1,East,36,Brand2,Phone,Online,Personalized_Email,0,-2497.127705560079
20,4,20900.0,18632.164032111312,4776.961256822184,11.67244094126437,Male,Offer1,North,37,Brand4,In_Person,Online,Generic_App_Notification,0,-2509.1252889334955
67,0,48400.0,38150.947762464275,1150.4439077377767,57.40217824743817,Female,Offer3,North,38,Brand2,Phone,Phone,Generic_App_Notification,0,9098.608329797948
20,4,20900.0,18597.271887106443,4811.660617045116,13.201784967780206,Male,Offer1,West,39,Brand2,Phone,Online,Generic_App_Notification,0,-2508.9325041515585
20,4,21000.0,18693.72207882831,4797.642634950984,13.747064396501086,Male,Offer2,West,40,Brand3,Phone,In_Person,Generic_App_Notification,0,-2491.3647137792923
69,0,48000.0,37579.924524840906,1096.067478084722,56.56989274534727,Female,Offer1,North,41,Brand3,In_Person,In_Person,Generic_App_Notification,0,9324.007997074372
66,0,48300.0,38083.08499553985,1166.1904854988093,59.28019026822173,Female,Offer2,East,42,Brand3,Phone,Online,Generic_App_Notification,0,9050.72451896134
21,4,21000.0,18660.366126752782,4783.625021903759,13.346050265441065,Male,Offer1,South,43,Brand1,Phone,In_Person,Generic_App_Notification,0,-2443.991148656545
20,4,20700.0,18423.320037428355,4916.045531269834,12.86802278626829,Male,Offer3,West,44,Brand4,Online,In_Person,Generic_App_Notification,0,-2639.3655686981892
68,0,21800.0,15374.269083333173,4757.410021765726,57.883965934472464,Male,Offer1,West,45,Brand4,Phone,In_Person,Personalized_Email,1,1668.3208949011014
21,4,20600.0,18386.797475871328,4807.692853684628,11.943213948853248,Male,Offer1,South,46,Brand4,Phone,In_Person,Generic_App_Notification,0,-2594.490329555956
20,4,21200.0,18860.248640874444,4814.473936602673,12.364662063914178,Male,Offer1,South,47,Brand4,Online,In_Person,Generic_App_Notification,0,-2474.7225774771177
20,4,21400.0,19089.89765629177,4760.125144538694,12.598908321253232,Male,Offer2,South,48,Brand3,Online,Phone,Generic_App_Notification,0,-2450.022800830465
67,0,48300.0,37921.5971478989,1196.850308884863,56.4298052794506,Female,Offer1,South,49,Brand1,In_Person,Online,Generic_App_Notification,0,9181.552543216236
20,4,21800.0,19480.901601921636,4887.499827069118,11.313734049529458,Male,Offer3,North,50,Brand1,Phone,In_Person,Generic_App_Notification,0,-2568.4014289907536
20,4,21300.0,19047.98654662693,4787.116944697416,12.383120122607776,Male,Offer3,South,51,Brand3,In_Person,Online,Generic_App_Notification,0,-2535.103491324342
68,0,47600.0,37340.41382069191,1214.9328807071138,56.93044541375298,Female,Offer1,East,52,Brand1,In_Person,In_Person,Generic_App_Notification,0,9044.653298600975
21,4,21800.0,19485.071523967836,4833.10976485138,11.434850847037607,Male,Offer3,North,53,Brand3,Online,Phone,Generic_App_Notification,0,-2518.1812888192153
68,0,48300.0,37863.91708976793,1126.1091433684353,58.22122153754114,Female,Offer1,North,54,Brand4,In_Person,Phone,Generic_App_Notification,0,9309.973766863635
21,4,21700.0,19405.81605285728,4842.44219114789,11.975719805328144,Male,Offer2,East,55,Brand3,Phone,In_Person,Personalized_Email,0,-2548.258244005171
68,4,48600.0,42798.35114990895,4813.678117148445,57.784093174874435,Female,Offer1,West,56,Brand4,Online,In_Person,Personalized_Email,1,987.9707329426036
21,4,21000.0,18747.19527260951,4710.625584154324,11.973996990157438,Male,Offer2,North,57,Brand4,Phone,In_Person,Generic_App_Notification,0,-2457.820856763836
21,4,21700.0,19410.572407117004,4825.906297151926,11.92818697279023,Male,Offer3,South,58,Brand2,Phone,Phone,Generic_App_Notification,0,-2536.4787042689304
67,0,48500.0,38288.10369122115,1202.0433165991003,57.27130901919655,Female,Offer2,West,59,Brand3,Online,Phone,Personalized_Email,0,9009.85299217975
21,4,21500.0,19171.896528553312,4855.2347859149795,12.112327010032152,Male,Offer2,East,60,Brand2,Phone,Online,Generic_App_Notification,0,-2527.1313144682917
20,4,21400.0,19120.01450572988,4775.37434169761,12.372108383526037,Male,Offer3,South,61,Brand3,Online,Phone,Generic_App_Notification,0,-2495.38884742749
20,4,20400.0,18209.758015795003,4799.231488373864,13.041679180735043,Male,Offer2,East,62,Brand3,Phone,In_Person,Generic_App_Notification,0,-2608.989504168867
20,4,20900.0,18683.071133548805,4763.724770207405,12.333724103887166,Male,Offer2,East,63,Brand2,Online,Online,Generic_App_Notification,0,-2546.7959037562096
21,4,20800.0,18509.485239227324,4823.086878914397,12.185815164850194,Male,Offer2,South,64,Brand2,In_Person,Phone,Generic_App_Notification,0,-2532.572118141721
20,4,21100.0,18798.73853015551,4779.93137718555,12.710625857504368,Male,Offer2,East,65,Brand3,Phone,Phone,Generic_App_Notification,0,-2478.669907341062
68,0,47900.0,37679.06546427107,1161.4140805709292,56.734583828636175,Female,Offer3,North,66,Brand1,Online,In_Person,Generic_App_Notification,0,9059.520455158
67,0,47900.0,37659.20765309825,1211.0049440182745,57.50143944192923,Female,Offer2,South,67,Brand4,Phone,Online,Generic_App_Notification,0,9029.787402883474
67,0,48800.0,38397.31506820363,1182.8673841954826,58.26350888866073,Female,Offer1,East,68,Brand2,Phone,Phone,Generic_App_Notification,0,9219.817547600882
20,4,20900.0,18735.662439556887,4730.942707271689,12.29494398108312,Male,Offer3,South,69,Brand4,Phone,Phone,Generic_App_Notification,0,-2566.605146828576
21,4,21400.0,19134.55687500443,4835.458344472577,11.586449752277856,Male,Offer3,East,70,Brand1,Online,In_Person,Generic_App_Notification,0,-2570.015219477006
22,4,21400.0,19083.9560551755,4765.787085663596,12.763593430312415,Male,Offer2,East,71,Brand1,In_Person,Online,Generic_App_Notification,0,-2449.743140839095
67,0,48500.0,38200.34122805111,1145.401780338174,58.17541660525663,Female,Offer3,South,72,Brand1,In_Person,Online,Generic_App_Notification,0,9154.256991610717
20,4,21900.0,19610.118525597292,4764.403789526303,13.346924725054125,Male,Offer3,West,73,Brand2,In_Person,Online,Personalized_Email,0,-2474.522315123595
21,4,20700.0,18388.876824935774,4860.842511222112,13.84435607125778,Male,Offer1,West,74,Brand1,Online,Online,Generic_App_Notification,0,-2549.71933615789
67,0,21200.0,14931.94836481432,4763.718865045772,58.16409355841146,Male,Offer1,East,75,Brand2,In_Person,In_Person,Generic_App_Notification,1,1504.3327701399085
20,4,21500.0,19252.3201980394,4753.837327329629,12.199801526041892,Male,Offer3,South,76,Brand1,Online,Phone,Personalized_Email,0,-2506.15752536903
67,0,48600.0,38280.64773551857,1112.4920785669965,56.86602617029273,Female,Offer2,West,77,Brand4,Phone,Phone,Generic_App_Notification,0,9206.860185914433
21,4,21800.0,19478.475392656503,4840.185162388638,11.443705033755997,Male,Offer3,South,78,Brand4,Phone,Online,Generic_App_Notification,0,-2518.660555045144
19,4,20700.0,18443.31005425293,4855.1785246085965,12.670986269200217,Male,Offer2,South,79,Brand3,In_Person,Online,Generic_App_Notification,0,-2598.4885788615247
68,0,48500.0,38120.5412443797,1215.5738672536595,57.68570294708099,Female,Offer2,North,80,Brand4,Online,Online,Generic_App_Notification,0,9163.884888366638
67,0,48300.0,38066.05400514496,1172.6083442107524,56.480283789126695,Female,Offer2,East,81,Brand3,Phone,Phone,Generic_App_Notification,0,9061.337650644284
68,0,48300.0,37962.51124140525,1169.8352346187958,57.54281980334667,Female,Offer2,North,82,Brand4,Online,Phone,Generic_App_Notification,0,9167.653523975954
68,0,48200.0,37825.21551646178,1123.4376521009333,57.26591495926825,Female,Offer1,North,83,Brand2,Online,Online,Generic_App_Notification,0,9251.346831437288
68,0,48000.0,37782.2146718587,1161.0032091160008,57.39085313547858,Female,Offer3,South,84,Brand4,Phone,In_Person,Personalized_Email,0,9056.782119025296
68,0,48200.0,37953.351830805244,1124.8999051175106,57.28432575753626,Female,Offer3,North,85,Brand3,Online,Phone,Generic_App_Notification,0,9121.748264077243
20,4,20700.0,18454.39975272477,4772.286927564726,12.284698576899956,Male,Offer2,West,86,Brand3,Phone,Phone,Generic_App_Notification,0,-2526.6866802894965
20,4,21400.0,19065.71062729995,4799.932876932667,12.57915345854122,Male,Offer2,West,87,Brand1,Phone,Online,Generic_App_Notification,0,-2465.6435042326184
20,4,21400.0,19138.7980974895,4802.525063385878,13.405790897480896,Male,Offer3,West,88,Brand2,Phone,In_Person,Personalized_Email,0,-2541.3231608753777
67,0,48100.0,37849.853581126,1230.6875920719835,56.57049912511007,Female,Offer1,West,89,Brand4,Online,Online,Personalized_Email,0,9019.458826802016
68,0,47900.0,37722.2083942131,1194.0876587287348,58.21291957120199,Female,Offer3,East,90,Brand1,Phone,Online,Generic_App_Notification,0,8983.703947058166
67,0,48800.0,38467.92350530152,1199.0949822626044,57.52329312707608,Female,Offer1,East,91,Brand4,Online,In_Person,Generic_App_Notification,0,9132.981512435874
21,4,21600.0,19264.044197189804,4810.908253849737,12.529059981714305,Male,Offer3,South,92,Brand4,Phone,In_Person,Generic_App_Notification,0,-2474.9524510395404
67,0,48600.0,38248.15982975975,1104.9776253478576,58.71123257948893,Female,Offer1,West,93,Brand1,Phone,In_Person,Generic_App_Notification,0,9246.86254489239
